# T02 PARKED models -- PROVISIONAL, pending T27 reload AND target-row generation.
# These curve rows do NOT exist yet (UNMAPPED in T01). Each carries the durable
# join key; when the target enhanced/coarse row is generated (T19->T20->T09->T08
# chain, or the 15.4 non-squarefree extension, or the grammar fixes), attach the
# model via the join key.  equation = normalized text[] polys (postgres array).
# park_reason values: PENDING_GENERATION | GRAMMAR_VIOLATION | NO_COARSE_ROW
# dup_occ>0 marks the 2nd model rep of a duplicate-label curve (see Log).
old_label|park_reason|dup_occ|join_discB|join_discO|join_deg_mu|join_level|join_al_subgroup|genus|model_type|number_variables|smooth|dont_display|equation|note
10.19-[1,2,5,10,19,38,95,190]|PENDING_GENERATION|0|10|190|1|1|1,2,5,10,19,38,95,190|0|2|3|t|f|{"x*y - 5x*t - 160y*t"}|\N
10.19-[1,2,5,10]|PENDING_GENERATION|0|10|190|1|1|1,2,5,10|1|5|3|t|f|{"-x^3 + x*y*z + y^2z + 2780x*z^2 + 56650z^3"}|\N
10.19-[1,2,95,190]|PENDING_GENERATION|0|10|190|1|1|1,2,95,190|1|5|3|t|f|{"-x^3 + x^2z + x*y*z + y^2z + 48x*z^2 + y*z^2 - 147z^3"}|\N
10.19-[1,2]|PENDING_GENERATION|0|10|190|1|1|1,2|2|5|3|t|f|{"185x^6 + 205x^5z - 121x^4z^2 - 442x^3z^3 + x^2y*z - 121x^2z^4 + x*y*z^2 + 205x*z^5 + y^2 + 185z^6"}|\N
10.19-[1,38]|PENDING_GENERATION|0|10|190|1|1|1,38|0|2|3|t|f|{"x^2 - 160y^2 - 5t^2"}|\N
10.19-[1,5,19,95]|PENDING_GENERATION|0|10|190|1|1|1,5,19,95|2|5|3|t|f|{"-2x^5z - 11x^4z^2 - 61x^3z^3 + x^2y*z + 137x^2z^4 + x*y*z^2 - 74x*z^5 + y^2 + 12z^6"}|\N
10.19-[1,5,38,190]|PENDING_GENERATION|0|10|190|1|1|1,5,38,190|0|2|3|t|f|{"x^2 - y*t"}|\N
10.19-[1,5]|PENDING_GENERATION|0|10|190|1|1|1,5|3|5|3|t|f|{"2x^8 - 21x^6z^2 + 127x^4z^4 + x^3y*z - 135x^2z^6 + x*y*z^3 + y^2 + 40z^8"}|\N
10.19-[1,95]|PENDING_GENERATION|0|10|190|1|1|1,95|3|5|3|t|f|{"-x^7z - 5x^6z^2 - 13x^5z^3 + x^4y - 55x^4z^4 - 91x^3z^5 + x^2y*z^2 - 7x^2z^6 + 36x*z^7 + y^2 + y*z^4 + 12z^8"}|\N
10.23-[1,10,23,230]|PENDING_GENERATION|0|10|230|1|1|1,10,23,230|0|2|3|t|f|{"y^2 - x*t"}|\N
10.23-[1,10,46,115]|PENDING_GENERATION|0|10|230|1|1|1,10,46,115|2|5|3|t|f|{"80x^5z + 152x^4z^2 + 37x^3z^3 + 41x^2z^4 + 159x*z^5 + y^2 + 43z^6"}|\N
10.23-[1,10]|PENDING_GENERATION|0|10|230|1|1|1,10|4|5|3|t|f|{"43x^10 + 271x^9z + 704x^8z^2 + 917x^7z^3 + 745x^6z^4 + 528x^5z^5 + 745x^4z^6 + 917x^3z^7 + 704x^2z^8 + 271x*z^9 + y^2 + 43z^10"}|\N
10.23-[1,115]|PENDING_GENERATION|0|10|230|1|1|1,115|4|5|3|t|f|{"2x^10 - 21x^8z^2 + 117x^6z^4 + x^4y*z - 361x^4z^6 + x^2y*z^3 + 552x^2z^8 + y^2 - 320z^10"}|\N
10.23-[1,2,115,230]|PENDING_GENERATION|0|10|230|1|1|1,2,115,230|0|2|3|t|f|{"y^2 - x*t"}|\N
10.23-[1,2,23,46]|PENDING_GENERATION|0|10|230|1|1|1,2,23,46|3|5|3|t|f|{"11x^8 - 72x^7z + 87x^6z^2 + 119x^5z^3 + x^4y + 25x^4z^4 - 97x^3z^5 + x^2y*z^2 - 92x^2z^6 + 80x*z^7 + y^2"}|\N
10.23-[1,2,5,10,23,46,115,230]|PENDING_GENERATION|0|10|230|1|1|1,2,5,10,23,46,115,230|0|2|3|t|f|{"y^2 - x*t"}|\N
10.23-[1,2,5,10]|PENDING_GENERATION|0|10|230|1|1|1,2,5,10|2|5|3|t|f|{"43x^6 - 73x^5z - 333x^4z^2 + 57x^3z^3 + 1094x^2z^4 + 620x*z^5 + y^2 + 120z^6"}|\N
10.23-[1,230]|PENDING_GENERATION|0|10|230|1|1|1,230|0|2|3|t|f|{"y^2 - x*t"}|\N
10.23-[1,23]|PENDING_GENERATION|0|10|230|1|1|1,23|5|5|3|t|f|{"-20x^12 - 120x^11z - 318x^10z^2 - 490x^9z^3 - 451x^8z^4 - 185x^7z^5 + 62x^6z^6 + 94x^5z^7 + x^4y*z^2 - 3x^4z^8 - 60x^3z^9 + x^2y*z^4 + 29x*z^11 + y^2 + y*z^6 + 11z^12"}|\N
10.23-[1,2]|PENDING_GENERATION|0|10|230|1|1|1,2|5|5|3|t|f|{"80x^12 - 652x^10z^2 + 2135x^8z^4 - 3670x^6z^6 + 3690x^4z^8 + x^3y*z^3 - 2212x^2z^10 + y^2 + 640z^12"}|\N
10.23-[1,46]|PENDING_GENERATION|0|10|230|1|1|1,46|5|5|3|t|f|{"11x^12 - 49x^11z + 254x^10z^2 - 387x^9z^3 + 1597x^8z^4 - 1007x^7z^5 + x^6y + 15073x^6z^6 + x^5y*z - 32659x^5z^7 + x^4y*z^2 + 142651x^4z^8 + x^3y*z^3 - 231800x^3z^9 + 454352x^2z^10 - 374400x*z^11 + y^2 + 300800z^12"}|\N
10.23-[1,5,23,115]|PENDING_GENERATION|0|10|230|1|1|1,5,23,115|2|5|3|t|f|{"2x^5z - x^4z^2 + 27x^3z^3 + x^2y*z - 12x^2z^4 + x*y*z^2 - 15x*z^5 + y^2 - 5z^6"}|\N
10.23-[1,5,46,230]|PENDING_GENERATION|0|10|230|1|1|1,5,46,230|0|2|3|t|f|{"y^2 - x*t"}|\N
10.23-[1,5]|PENDING_GENERATION|0|10|230|1|1|1,5|4|5|3|t|f|{"172x^10 - 224x^9z + 574x^8z^2 + 78x^7z^3 + 957x^6z^4 + 356x^5z^5 + 2928x^4z^6 + x^3y*z^2 - 1599x^3z^7 + x^2y*z^3 + 3657x^2z^8 - 1588x*z^9 + y^2 + 940z^10"}|\N
111.1-[1,111]|PENDING_GENERATION|0|111|111|1|1|1,111|0|2|3|t|f|{"y^2 - x*t"}|\N
111.1-[1,3,37,111]|PENDING_GENERATION|0|111|111|1|1|1,3,37,111|0|2|3|t|f|{"y^2 - x*t"}|\N
111.1-[1,37]|PENDING_GENERATION|0|111|111|1|1|1,37|3|5|3|t|f|{"x^8 + 5x^7z + 10x^6z^2 + 10x^5z^3 + x^4y + 9x^4z^4 + x^3y*z + 7x^3z^5 + x^2y*z^2 + 4x^2z^6 + x*y*z^3 + 2x*z^7 + y^2 + y*z^4 + z^8"}|\N
111.1-[1,3]|PENDING_GENERATION|0|111|111|1|1|1,3|4|5|3|t|f|{"4x^10 - 4x^9z + 17x^8z^2 - 28x^7z^3 + 42x^6z^4 + x^5y - 61x^5z^5 + x^4y*z + 73x^4z^6 + x^3y*z^2 - 57x^3z^7 + x^2y*z^3 + 60x^2z^8 + x*y*z^4 - 33x*z^9 + y^2 + 6z^10"}|\N
119.1-[1,119]|PENDING_GENERATION|0|119|119|1|1|1,119|0|2|3|t|f|{"y^2 - x*t"}|\N
119.1-[1,17]|PENDING_GENERATION|0|119|119|1|1|1,17|5|5|3|t|f|{"3x^12 - 2x^11z - 20x^10z^2 + 33x^8z^4 - 31x^7z^5 + x^6y - 64x^6z^6 + 47x^5z^7 + x^4y*z^2 + 55x^4z^8 + x^3y*z^3 - 50x^3z^9 - 21x^2z^10 + 34x*z^11 + y^2 + y*z^6 + 13z^12"}|\N
119.1-[1,7,17,119]|PENDING_GENERATION|0|119|119|1|1|1,7,17,119|0|2|3|t|f|{"y^2 - x*t"}|\N
119.1-[1,7]|PENDING_GENERATION|0|119|119|1|1|1,7|4|5|3|t|f|{"3x^10 - 3x^9z - 5x^8z^2 + x^7z^3 + 17x^6z^4 + x^5y + 2x^5z^5 + x^4y*z - 18x^4z^6 - 6x^3z^7 + x^2y*z^3 + 12x^2z^8 + x*y*z^4 + 9x*z^9 + y^2 + y*z^5 - 4z^10"}|\N
123.1-[1,123]|PENDING_GENERATION|0|123|123|1|1|1,123|\N|5|3|t|f|{"-9x^6+19x^4z^2+5x^2z^4+z^6-y^2"}|\N
134.1-[1,134]|PENDING_GENERATION|0|134|134|1|1|1,134|0|2|3|t|f|{"y^2 - x*t"}|\N
134.1-[1,2,67,134]|PENDING_GENERATION|0|134|134|1|1|1,2,67,134|0|2|3|t|f|{"y^2 - x*t"}|\N
134.1-[1,2]|PENDING_GENERATION|0|134|134|1|1|1,2|3|5|3|t|f|{"19x^8 - 53x^7z - 21x^6z^2 + 143x^5z^3 - 5x^4z^4 + x^3y*z - 143x^3z^5 + x^2y*z^2 - 5x^2z^6 + 56x*z^7 + y^2 + 16z^8"}|\N
134.1-[1,67]|PENDING_GENERATION|0|134|134|1|1|1,67|3|5|3|t|f|{"-2x^8 + 2x^7z + 13x^6z^2 - 14x^5z^3 - 20x^4z^4 + x^3y*z + 35x^3z^5 + x^2y*z^2 - 13x^2z^6 - 32x*z^7 + y^2 + 32z^8"}|\N
14.3-[1,14]|PENDING_GENERATION|0|14|42|1|1|1,14|0|2|3|t|f|{"9x^2 + 18y^2 + t^2"}|\N
14.3-[1,2,21,42]|PENDING_GENERATION|0|14|42|1|1|1,2,21,42|0|2|3|t|f|{"-6561x^2 + y^2 - 1782x*t + 7t^2"}|\N
14.3-[1,2,3,6,7,14,21,42]|PENDING_GENERATION|0|14|42|1|1|1,2,3,6,7,14,21,42|0|2|3|t|f|{"y^2 - x*t"}|\N
14.3-[1,2,3,6]|PENDING_GENERATION|0|14|42|1|1|1,2,3,6|1|5|3|t|f|{"-x^3 - x^2z + x*y*z + y^2z + 914x*z^2 + y*z^2 + 10915z^3"}|\N
14.3-[1,2,7,14]|PENDING_GENERATION|0|14|42|1|1|1,2,7,14|0|2|3|t|f|{"-18x^2 - x*y - 9t^2"}|\N
14.3-[1,21]|PENDING_GENERATION|0|14|42|1|1|1,21|1|8|4|t|f|{"y^2 - x*z","-81/49x^2 + 26/49y^2 + 7/81z^2 + t^2"}|\N
14.3-[1,2]|PENDING_GENERATION|0|14|42|1|1|1,2|1|8|4|t|f|{"y^2 - x*z","1/567x^2 + 226/3969y^2 + 7/81z^2 + t^2"}|\N
14.3-[1,3,14,42]|PENDING_GENERATION|0|14|42|1|1|1,3,14,42|0|2|3|t|f|{"-x*y + t^2"}|\N
14.3-[1,3,7,21]|PENDING_GENERATION|0|14|42|1|1|1,3,7,21|1|5|3|t|f|{"-x^3 + x*y*z + y^2z + 36x*z^2 + y*z^2 + 70z^3"}|\N
14.3-[1,3]|PENDING_GENERATION|0|14|42|1|1|1,3|2|5|3|t|f|{"2x^6 + 6x^5z + 21x^4z^2 + 32x^3z^3 + x^2y*z + 34x^2z^4 + x*y*z^2 + 19x*z^5 + y^2 + y*z^3 + 3z^6"}|\N
14.3-[1,42]|PENDING_GENERATION|0|14|42|1|1|1,42|1|8|4|t|f|{"-81/49x^2 - 22/49y^2 + 1/567z^2 + t^2","y^2 - x*z"}|\N
14.3-[1,6,14,21]|PENDING_GENERATION|0|14|42|1|1|1,6,14,21|0|2|3|t|f|{"18x*y + y^2 + 9t^2"}|\N
14.3-[1,6,7,42]|PENDING_GENERATION|0|14|42|1|1|1,6,7,42|1|5|3|t|f|{"-x^3 + x*y*z + y^2z + 11x*z^2 + y*z^2 - 12z^3"}|\N
14.3-[1,6]|PENDING_GENERATION|0|14|42|1|1|1,6|2|5|3|t|f|{"2x^6 + 6x^5z - x^4z^2 - 12x^3z^3 - 83x^2z^4 - 76x*z^5 + y^2 - 115z^6"}|\N
14.3-[1,7]|PENDING_GENERATION|0|14|42|1|1|1,7|2|5|3|t|f|{"-7x^6 - 21x^5z - 86x^4z^2 - 137x^3z^3 + x^2y*z - 146x^2z^4 + x*y*z^2 - 81x*z^5 + y^2 - 27z^6"}|\N
14.5-[1,10,14,35]|PENDING_GENERATION|0|14|70|1|1|1,10,14,35|0|2|3|t|f|{"27508y^2 - 61893x*t - 99360y*t - 42120t^2"}|\N
14.5-[1,10]|PENDING_GENERATION|0|14|70|1|1|1,10|2|5|3|t|f|{"x^6 - 3x^5z - 88x^4z^2 + 181x^3z^3 - 24x^2z^4 - 67x*z^5 + y^2 + 23z^6"}|\N
14.5-[1,14]|PENDING_GENERATION|0|14|70|1|1|1,14|0|2|3|t|f|{"y^2 - x*t"}|\N
14.5-[1,2,35,70]|PENDING_GENERATION|0|14|70|1|1|1,2,35,70|0|2|3|t|f|{"23x^2 + y^2 + 1444/7x*t + 5212/49t^2"}|\N
14.5-[1,2,5,10]|PENDING_GENERATION|0|14|70|1|1|1,2,5,10|1|5|3|t|f|{"-x^3 + x^2z + x*y*z + y^2z + 268x*z^2 + y*z^2 + 1619z^3"}|\N
14.5-[1,2,5,7,10,14,35,70]|PENDING_GENERATION|0|14|70|1|1|1,2,5,7,10,14,35,70|0|2|3|t|f|{"y^2 - x*t"}|\N
14.5-[1,2,7,14]|PENDING_GENERATION|0|14|70|1|1|1,2,7,14|0|2|3|t|f|{"-y^2 + x*t - 2t^2"}|\N
14.5-[1,2]|PENDING_GENERATION|0|14|70|1|1|1,2|1|8|4|t|f|{"23x^2 - 180x*y + 450y^2 - 708y*z + 1439z^2 + t^2","y^2 - x*z"}|\N
14.5-[1,35]|PENDING_GENERATION|0|14|70|1|1|1,35|1|8|4|t|f|{"y^2 - x*z","23x^2 + 1168/7x*y + 13802/49y^2 - 36688/343y*z - 16721/2401z^2 + t^2"}|\N
14.5-[1,5,14,70]|PENDING_GENERATION|0|14|70|1|1|1,5,14,70|0|2|3|t|f|{"600281y^2 - 48622761x*t + 7056720y*t - 2690010t^2"}|\N
14.5-[1,5,7,35]|PENDING_GENERATION|0|14|70|1|1|1,5,7,35|1|5|3|t|f|{"-x^3 + x*y*z + y^2z + 2731x*z^2 + y*z^2 + 55146z^3"}|\N
14.5-[1,5]|PENDING_GENERATION|0|14|70|1|1|1,5|2|5|3|t|f|{"3x^6 + 16x^5z + 10x^4z^2 + x^3y - 41x^3z^3 + 10x^2z^4 + 16x*z^5 + y^2 + y*z^3 + 3z^6"}|\N
14.5-[1,7,10,70]|PENDING_GENERATION|0|14|70|1|1|1,7,10,70|1|5|3|t|f|{"-x^3 + x*y*z + y^2z + 11x*z^2 + y*z^2 - 12z^3"}|\N
14.5-[1,70]|PENDING_GENERATION|0|14|70|1|1|1,70|1|8|4|t|f|{"23x^2 + 274458/1271x*y + 445870093/3230882y^2 + 75751624885/4106451022y*z - 105061922739001/41754393991696z^2 + t^2","y^2 - x*z"}|\N
14.5-[1,7]|PENDING_GENERATION|0|14|70|1|1|1,7|2|5|3|t|f|{"5x^6 + 3x^5z + 12x^4z^2 - 37x^3z^3 + x^2y*z - 3x^2z^4 + x*y*z^2 - 42x*z^5 + y^2 + 92z^6"}|\N
141.1-[1,141]|PENDING_GENERATION|0|141|141|1|1|1,141|\N|5|3|t|f|{"27x^6-5x^4z^2-7x^2z^4+z^6-y^2"}|\N
142.1-[1,142]|PENDING_GENERATION|0|142|142|1|1|1,142|\N|5|3|t|f|{"16x^6+9x^4z^2-10x^2z^4+z^6-y^2"}|\N
142.1-[1,2]|PENDING_GENERATION|0|142|142|1|1|1,2|\N|5|3|t|f|{"-16x^6-87x^4z^2-146x^2z^4-71z^6-y^2"}|\N
146.1-[1,146]|PENDING_GENERATION|0|146|146|1|1|1,146|0|2|3|t|f|{"y^2 - x*t"}|\N
146.1-[1,2,73,146]|PENDING_GENERATION|0|146|146|1|1|1,2,73,146|0|2|3|t|f|{"y^2 - x*t"}|\N
146.1-[1,2]|PENDING_GENERATION|0|146|146|1|1|1,2|4|5|3|t|f|{"5x^10 - x^9z + 4x^8z^2 - 26x^7z^3 - 14x^6z^4 - 43x^5z^5 + x^4y*z + 36x^4z^6 + 38x^3z^7 + x^2y*z^3 + 110x^2z^8 + 56x*z^9 + y^2 + 44z^10"}|\N
146.1-[1,73]|PENDING_GENERATION|0|146|146|1|1|1,73|3|5|3|t|f|{"x^8 - x^7z + x^6z^2 - 5x^5z^3 + x^4z^4 + x^3y*z - 5x^3z^5 + 11x^2z^6 + x*y*z^3 + 3x*z^7 + y^2 + 11z^8"}|\N
15.2-[1,10]|PENDING_GENERATION|0|15|30|1|1|1,10|1|8|4|t|f|{"3x^2 + 34y^2 + 75z^2 + t^2","y^2 - x*z"}|\N
15.2-[1,15]|PENDING_GENERATION|0|15|30|1|1|1,15|0|2|3|t|f|{"y^2 - x*t"}|\N
15.2-[1,2,15,30]|PENDING_GENERATION|0|15|30|1|1|1,2,15,30|0|2|3|t|f|{"-y^2 + x*t + 4t^2"}|\N
15.2-[1,2,3,5,6,10,15,30]|PENDING_GENERATION|0|15|30|1|1|1,2,3,5,6,10,15,30|0|2|3|t|f|{"y^2 - x*t"}|\N
15.2-[1,2,3,6]|PENDING_GENERATION|0|15|30|1|1|1,2,3,6|1|5|3|t|f|{"-x^3 + x*y*z + y^2z + 334x*z^2 + y*z^2 + 2368z^3"}|\N
15.2-[1,2,5,10]|PENDING_GENERATION|0|15|30|1|1|1,2,5,10|1|5|3|t|f|{"-x^3 - x^2z + x*y*z + y^2z + 10x*z^2 + y*z^2 + 10z^3"}|\N
15.2-[1,2]|PENDING_GENERATION|0|15|30|1|1|1,2|2|5|3|t|f|{"2x^6 + 8x^5z + 9x^4z^2 + x^3y + 3x^3z^3 + 9x^2z^4 + 8x*z^5 + y^2 + y*z^3 + 2z^6"}|\N
15.2-[1,3,10,30]|PENDING_GENERATION|0|15|30|1|1|1,3,10,30|0|2|3|t|f|{"3x^2 + y^2 + 10x*t - 13t^2"}|\N
15.2-[1,3,5,15]|PENDING_GENERATION|0|15|30|1|1|1,3,5,15|0|2|3|t|f|{"-x*y + t^2"}|\N
15.2-[1,30]|PENDING_GENERATION|0|15|30|1|1|1,30|1|8|4|t|f|{"y^2 - x*z","3x^2 - 14y^2 - 5z^2 + t^2"}|\N
15.2-[1,3]|PENDING_GENERATION|0|15|30|1|1|1,3|1|5|3|t|f|{"-x^3 + x*y*z + y^2z + 14x*z^2 + y*z^2 + 64z^3"}|\N
15.2-[1,5,6,30]|PENDING_GENERATION|0|15|30|1|1|1,5,6,30|1|5|3|t|f|{"-x^3 - x^2z + x*y*z + y^2z + 5x*z^2 + y*z^2 - 2z^3"}|\N
15.2-[1,5]|PENDING_GENERATION|0|15|30|1|1|1,5|2|5|3|t|f|{"3x^5z - 5x^4z^2 + x^3z^3 + 37x^2z^4 - 24x*z^5 + y^2 - 12z^6"}|\N
15.2-[1,6,10,15]|PENDING_GENERATION|0|15|30|1|1|1,6,10,15|0|2|3|t|f|{"-y^2 + x*t - 4t^2"}|\N
15.2-[1,6]|PENDING_GENERATION|0|15|30|1|1|1,6|2|5|3|t|f|{"3x^6 + 9x^5z + 26x^4z^2 + 37x^3z^3 + x^2y*z + 47x^2z^4 + x*y*z^2 + 30x*z^5 + y^2 + y*z^3 + 16z^6"}|\N
15.4-[1,12,15,20]|PENDING_GENERATION|0|15|60|1|1|1,12,15,20|0|2|3|t|f|{"x^2 - y*t"}|\N
15.4-[1,12]|PENDING_GENERATION|0|15|60|1|1|1,12|3|5|3|t|f|{"-2x^6z^2 + x^4y - 8x^4z^4 + x^2y*z^2 + 71x^2z^6 + y^2 + 320z^8"}|\N
15.4-[1,15]|PENDING_GENERATION|0|15|60|1|1|1,15|0|2|3|t|f|{"x^2 + 3y^2 + 3t^2"}|\N
15.4-[1,20]|PENDING_GENERATION|0|15|60|1|1|1,20|2|5|3|t|f|{"3x^6 + 9x^5z + 16x^4z^2 + 17x^3z^3 + x^2y*z + 12x^2z^4 + x*y*z^2 + 5x*z^5 + y^2 + y*z^3 - 14z^6"}|\N
