# T15 points/obstructions update for gps_shimura_test -- PROVISIONAL, pending T27 reload.
# Labels use the canonical (T29) grammar; shipped DB labels differ for the
# 5 enhanced D=6 rows (class letters a/b reshuffled) -- re-key by the
# invariant join_* columns before any load against a different label state.
# v1 scope (Q9 DECIDED): real place (Shimura + Ogg) and CM lower bounds (GR06);
# no p-adic criteria.  Load: strip '#' lines and the join_* columns, then
# db.gps_shimura_test.update_from_file(..., label_col='label', sep='|')
# AFTER T03's count file (T15 supersedes its pointless=\N on the coarse bases).
label|cm_discriminants|obstructions|has_obstruction|pointless|num_known_degree1_points|num_known_degree1_noncm_points|all_degree1_points_known|join_discB|join_discO|join_deg_mu|join_level_congruence|join_eichler_level|join_fuchsian_index|join_index|join_genus|join_W
14.70.1.1.4.3.a.1|{}|{0}|1|t|0|0|t|14|70|1|1|5|4|4|3|1
14.154.1.1.2.7.a.1|{}|{0}|1|t|0|0|t|14|154|1|1|11|2|2|7|1
14.182.1.1.2.7.a.1|{}|{0}|1|t|0|0|t|14|182|1|1|13|2|2|7|1
14.210.1.1.4.13.a.1|{}|{0}|1|t|0|0|t|14|210|1|1|15|4|4|13|1
14.238.1.1.2.9.a.1|{}|{0}|1|t|0|0|t|14|238|1|1|17|2|2|9|1
14.266.1.1.4.11.a.1|{}|{0}|1|t|0|0|t|14|266|1|1|19|4|4|11|1
14.322.1.1.2.13.a.1|{}|{0}|1|t|0|0|t|14|322|1|1|23|2|2|13|1
15.1.1.4.1.a.1|{}|{0}|1|t|0|0|t|15|15|1|1|1|4|4|1|1
15.30.1.1.4.3.a.1|{}|{0}|1|t|0|0|t|15|30|1|1|2|4|4|3|1
15.105.1.1.2.5.a.1|{}|{0}|1|t|0|0|t|15|105|1|1|7|2|2|5|1
15.165.1.1.4.9.a.1|{}|{0}|1|t|0|0|t|15|165|1|1|11|4|4|9|1
15.195.1.1.4.9.a.1|{}|{0}|1|t|0|0|t|15|195|1|1|13|4|4|9|1
15.210.1.1.4.17.a.1|{}|{0}|1|t|0|0|t|15|210|1|1|14|4|4|17|1
15.255.1.1.4.13.a.1|{}|{0}|1|t|0|0|t|15|255|1|1|17|4|4|13|1
15.285.1.1.2.13.a.1|{}|{0}|1|t|0|0|t|15|285|1|1|19|2|2|13|1
15.330.1.1.4.25.a.1|{}|{0}|1|t|0|0|t|15|330|1|1|22|4|4|25|1
15.345.1.1.2.17.a.1|{}|{0}|1|t|0|0|t|15|345|1|1|23|2|2|17|1
15.390.1.1.2.29.a.1|{}|{0}|1|t|0|0|t|15|390|1|1|26|2|2|29|1
21.1.1.2.1.a.1|{}|{0}|1|t|0|0|t|21|21|1|1|1|2|2|1|1
21.42.1.1.4.3.a.1|{}|{0}|1|t|0|0|t|21|42|1|1|2|4|4|3|1
21.105.1.1.4.5.a.1|{}|{0}|1|t|0|0|t|21|105|1|1|5|4|4|5|1
21.210.1.1.4.17.a.1|{}|{0}|1|t|0|0|t|21|210|1|1|10|4|4|17|1
21.231.1.1.4.13.a.1|{}|{0}|1|t|0|0|t|21|231|1|1|11|4|4|13|1
21.273.1.1.2.13.a.1|{}|{0}|1|t|0|0|t|21|273|1|1|13|2|2|13|1
21.357.1.1.4.17.a.1|{}|{0}|1|t|0|0|t|21|357|1|1|17|4|4|17|1
21.399.1.1.2.21.a.1|{}|{0}|1|t|0|0|t|21|399|1|1|19|2|2|21|1
22.1.1.4.0.a.1|{}|{0}|1|t|0|0|t|22|22|1|1|1|4|4|0|1
22.66.1.1.2.3.a.1|{}|{0}|1|t|0|0|t|22|66|1|1|3|2|2|3|1
22.110.1.1.4.5.a.1|{}|{0}|1|t|0|0|t|22|110|1|1|5|4|4|5|1
22.154.1.1.4.5.a.1|{}|{0}|1|t|0|0|t|22|154|1|1|7|4|4|5|1
22.286.1.1.4.9.a.1|{}|{0}|1|t|0|0|t|22|286|1|1|13|4|4|9|1
22.330.1.1.4.21.a.1|{}|{0}|1|t|0|0|t|22|330|1|1|15|4|4|21|1
22.374.1.1.2.15.a.1|{}|{0}|1|t|0|0|t|22|374|1|1|17|2|2|15|1
26.1.1.2.2.a.1|{}|{0}|1|t|0|0|t|26|26|1|1|1|2|2|2|1
26.78.1.1.4.5.a.1|{}|{0}|1|t|0|0|t|26|78|1|1|3|4|4|5|1
26.130.1.1.4.7.a.1|{}|{0}|1|t|0|0|t|26|130|1|1|5|4|4|7|1
26.182.1.1.2.9.a.1|{}|{0}|1|t|0|0|t|26|182|1|1|7|2|2|9|1
26.286.1.1.4.13.a.1|{}|{0}|1|t|0|0|t|26|286|1|1|11|4|4|13|1
26.390.1.1.2.25.a.1|{}|{0}|1|t|0|0|t|26|390|1|1|15|2|2|25|1
33.1.1.2.1.a.1|{}|{0}|1|t|0|0|t|33|33|1|1|1|2|2|1|1
33.66.1.1.4.5.a.1|{}|{0}|1|t|0|0|t|33|66|1|1|2|4|4|5|1
33.165.1.1.2.9.a.1|{}|{0}|1|t|0|0|t|33|165|1|1|5|2|2|9|1
33.231.1.1.2.13.a.1|{}|{0}|1|t|0|0|t|33|231|1|1|7|2|2|13|1
33.330.1.1.4.29.a.1|{}|{0}|1|t|0|0|t|33|330|1|1|10|4|4|29|1
34.1.1.2.1.a.1|{}|{0}|1|t|0|0|t|34|34|1|1|1|2|2|1|1
34.102.1.1.4.5.a.1|{}|{0}|1|t|0|0|t|34|102|1|1|3|4|4|5|1
34.170.1.1.4.9.a.1|{}|{0}|1|t|0|0|t|34|170|1|1|5|4|4|9|1
34.238.1.1.2.9.a.1|{}|{0}|1|t|0|0|t|34|238|1|1|7|2|2|9|1
34.374.1.1.4.17.a.1|{}|{0}|1|t|0|0|t|34|374|1|1|11|4|4|17|1
35.1.1.2.3.a.1|{}|{0}|1|t|0|0|t|35|35|1|1|1|2|2|3|1
35.70.1.1.4.7.a.1|{}|{0}|1|t|0|0|t|35|70|1|1|2|4|4|7|1
35.105.1.1.2.9.a.1|{}|{0}|1|t|0|0|t|35|105|1|1|3|2|2|9|1
35.210.1.1.4.25.a.1|{}|{0}|1|t|0|0|t|35|210|1|1|6|4|4|25|1
35.385.1.1.4.25.a.1|{}|{0}|1|t|0|0|t|35|385|1|1|11|4|4|25|1
38.1.1.4.2.a.1|{}|{0}|1|t|0|0|t|38|38|1|1|1|4|4|2|1
38.114.1.1.2.7.a.1|{}|{0}|1|t|0|0|t|38|114|1|1|3|2|2|7|1
38.190.1.1.4.9.a.1|{}|{0}|1|t|0|0|t|38|190|1|1|5|4|4|9|1
38.266.1.1.4.13.a.1|{}|{0}|1|t|0|0|t|38|266|1|1|7|4|4|13|1
39.1.1.4.3.a.1|{}|{0}|1|t|0|0|t|39|39|1|1|1|4|4|3|1
39.78.1.1.4.7.a.1|{}|{0}|1|t|0|0|t|39|78|1|1|2|4|4|7|1
39.195.1.1.4.13.a.1|{}|{0}|1|t|0|0|t|39|195|1|1|5|4|4|13|1
39.273.1.1.2.17.a.1|{}|{0}|1|t|0|0|t|39|273|1|1|7|2|2|17|1
46.1.1.2.1.a.1|{}|{0}|1|t|0|0|t|46|46|1|1|1|2|2|1|1
51.1.1.2.3.a.1|{}|{0}|1|t|0|0|t|51|51|1|1|1|2|2|3|1
55.1.1.4.3.a.1|{}|{0}|1|t|0|0|t|55|55|1|1|1|4|4|3|1
57.1.1.2.3.a.1|{}|{0}|1|t|0|0|t|57|57|1|1|1|2|2|3|1
58.1.1.4.2.a.1|{}|{0}|1|t|0|0|t|58|58|1|1|1|4|4|2|1
62.1.1.2.3.a.1|{}|{0}|1|t|0|0|t|62|62|1|1|1|2|2|3|1
65.1.1.2.5.a.1|{}|{0}|1|t|0|0|t|65|65|1|1|1|2|2|5|1
69.1.1.2.3.a.1|{}|{0}|1|t|0|0|t|69|69|1|1|1|2|2|3|1
74.1.1.2.4.a.1|{}|{0}|1|t|0|0|t|74|74|1|1|1|2|2|4|1
77.1.1.2.5.a.1|{}|{0}|1|t|0|0|t|77|77|1|1|1|2|2|5|1
82.1.1.2.3.a.1|{}|{0}|1|t|0|0|t|82|82|1|1|1|2|2|3|1
85.1.1.4.5.a.1|{}|{0}|1|t|0|0|t|85|85|1|1|1|4|4|5|1
86.1.1.2.4.a.1|{}|{0}|1|t|0|0|t|86|86|1|1|1|2|2|4|1
87.1.1.4.5.a.1|{}|{0}|1|t|0|0|t|87|87|1|1|1|4|4|5|1
91.1.1.2.7.a.1|{}|{0}|1|t|0|0|t|91|91|1|1|1|2|2|7|1
93.1.1.2.5.a.1|{}|{0}|1|t|0|0|t|93|93|1|1|1|2|2|5|1
94.1.1.2.3.a.1|{}|{0}|1|t|0|0|t|94|94|1|1|1|2|2|3|1
95.1.1.4.7.a.1|{}|{0}|1|t|0|0|t|95|95|1|1|1|4|4|7|1
106.1.1.4.4.a.1|{}|{0}|1|t|0|0|t|106|106|1|1|1|4|4|4|1
111.1.1.4.7.a.1|{}|{0}|1|t|0|0|t|111|111|1|1|1|4|4|7|1
115.1.1.4.7.a.1|{}|{0}|1|t|0|0|t|115|115|1|1|1|4|4|7|1
118.1.1.4.4.a.1|{}|{0}|1|t|0|0|t|118|118|1|1|1|4|4|4|1
119.1.1.2.9.a.1|{}|{0}|1|t|0|0|t|119|119|1|1|1|2|2|9|1
122.1.1.4.6.a.1|{}|{0}|1|t|0|0|t|122|122|1|1|1|4|4|6|1
123.1.1.4.7.a.1|{}|{0}|1|t|0|0|t|123|123|1|1|1|4|4|7|1
129.1.1.2.7.a.1|{}|{0}|1|t|0|0|t|129|129|1|1|1|2|2|7|1
133.1.1.2.9.a.1|{}|{0}|1|t|0|0|t|133|133|1|1|1|2|2|9|1
134.1.1.2.6.a.1|{}|{0}|1|t|0|0|t|134|134|1|1|1|2|2|6|1
141.1.1.2.7.a.1|{}|{0}|1|t|0|0|t|141|141|1|1|1|2|2|7|1
142.1.1.2.5.a.1|{}|{0}|1|t|0|0|t|142|142|1|1|1|2|2|5|1
143.1.1.4.11.a.1|{}|{0}|1|t|0|0|t|143|143|1|1|1|4|4|11|1
145.1.1.2.9.a.1|{}|{0}|1|t|0|0|t|145|145|1|1|1|2|2|9|1
146.1.1.2.7.a.1|{}|{0}|1|t|0|0|t|146|146|1|1|1|2|2|7|1
155.1.1.2.11.a.1|{}|{0}|1|t|0|0|t|155|155|1|1|1|2|2|11|1
158.1.1.2.7.a.1|{}|{0}|1|t|0|0|t|158|158|1|1|1|2|2|7|1
159.1.1.4.9.a.1|{}|{0}|1|t|0|0|t|159|159|1|1|1|4|4|9|1
161.1.1.2.11.a.1|{}|{0}|1|t|0|0|t|161|161|1|1|1|2|2|11|1
166.1.1.4.6.a.1|{}|{0}|1|t|0|0|t|166|166|1|1|1|4|4|6|1
177.1.1.2.9.a.1|{}|{0}|1|t|0|0|t|177|177|1|1|1|2|2|9|1
178.1.1.2.7.a.1|{}|{0}|1|t|0|0|t|178|178|1|1|1|2|2|7|1
183.1.1.4.11.a.1|{}|{0}|1|t|0|0|t|183|183|1|1|1|4|4|11|1
185.1.1.2.13.a.1|{}|{0}|1|t|0|0|t|185|185|1|1|1|2|2|13|1
187.1.1.4.13.a.1|{}|{0}|1|t|0|0|t|187|187|1|1|1|4|4|13|1
194.1.1.2.9.a.1|{}|{0}|1|t|0|0|t|194|194|1|1|1|2|2|9|1
201.1.1.2.11.a.1|{}|{0}|1|t|0|0|t|201|201|1|1|1|2|2|11|1
202.1.1.4.8.a.1|{}|{0}|1|t|0|0|t|202|202|1|1|1|4|4|8|1
203.1.1.2.15.a.1|{}|{0}|1|t|0|0|t|203|203|1|1|1|2|2|15|1
205.1.1.2.13.a.1|{}|{0}|1|t|0|0|t|205|205|1|1|1|2|2|13|1
206.1.1.2.9.a.1|{}|{0}|1|t|0|0|t|206|206|1|1|1|2|2|9|1
209.1.1.2.15.a.1|{}|{0}|1|t|0|0|t|209|209|1|1|1|2|2|15|1
210.1.1.4.5.a.1|{}|{0}|1|t|0|0|t|210|210|1|1|1|4|4|5|1
213.1.1.2.11.a.1|{}|{0}|1|t|0|0|t|213|213|1|1|1|2|2|11|1
214.1.1.4.8.a.1|{}|{0}|1|t|0|0|t|214|214|1|1|1|4|4|8|1
215.1.1.4.15.a.1|{}|{0}|1|t|0|0|t|215|215|1|1|1|4|4|15|1
217.1.1.2.15.a.1|{}|{0}|1|t|0|0|t|217|217|1|1|1|2|2|15|1
218.1.1.4.10.a.1|{}|{0}|1|t|0|0|t|218|218|1|1|1|4|4|10|1
219.1.1.2.13.a.1|{}|{0}|1|t|0|0|t|219|219|1|1|1|2|2|13|1
221.1.1.2.17.a.1|{}|{0}|1|t|0|0|t|221|221|1|1|1|2|2|17|1
226.1.1.2.9.a.1|{}|{0}|1|t|0|0|t|226|226|1|1|1|2|2|9|1
235.1.1.4.15.a.1|{}|{0}|1|t|0|0|t|235|235|1|1|1|4|4|15|1
237.1.1.2.13.a.1|{}|{0}|1|t|0|0|t|237|237|1|1|1|2|2|13|1
247.1.1.4.19.a.1|{}|{0}|1|t|0|0|t|247|247|1|1|1|4|4|19|1
249.1.1.2.13.a.1|{}|{0}|1|t|0|0|t|249|249|1|1|1|2|2|13|1
253.1.1.2.17.a.1|{}|{0}|1|t|0|0|t|253|253|1|1|1|2|2|17|1
254.1.1.2.11.a.1|{}|{0}|1|t|0|0|t|254|254|1|1|1|2|2|11|1
259.1.1.2.19.a.1|{}|{0}|1|t|0|0|t|259|259|1|1|1|2|2|19|1
262.1.1.4.10.a.1|{}|{0}|1|t|0|0|t|262|262|1|1|1|4|4|10|1
265.1.1.2.17.a.1|{}|{0}|1|t|0|0|t|265|265|1|1|1|2|2|17|1
267.1.1.2.15.a.1|{}|{0}|1|t|0|0|t|267|267|1|1|1|2|2|15|1
274.1.1.2.11.a.1|{}|{0}|1|t|0|0|t|274|274|1|1|1|2|2|11|1
278.1.1.4.12.a.1|{}|{0}|1|t|0|0|t|278|278|1|1|1|4|4|12|1
287.1.1.4.21.a.1|{}|{0}|1|t|0|0|t|287|287|1|1|1|4|4|21|1
291.1.1.2.17.a.1|{}|{0}|1|t|0|0|t|291|291|1|1|1|2|2|17|1
295.1.1.4.19.a.1|{}|{0}|1|t|0|0|t|295|295|1|1|1|4|4|19|1
298.1.1.4.12.a.1|{}|{0}|1|t|0|0|t|298|298|1|1|1|4|4|12|1
299.1.1.2.23.a.1|{}|{0}|1|t|0|0|t|299|299|1|1|1|2|2|23|1
301.1.1.2.21.a.1|{}|{0}|1|t|0|0|t|301|301|1|1|1|2|2|21|1
302.1.1.2.13.a.1|{}|{0}|1|t|0|0|t|302|302|1|1|1|2|2|13|1
303.1.1.4.17.a.1|{}|{0}|1|t|0|0|t|303|303|1|1|1|4|4|17|1
305.1.1.2.21.a.1|{}|{0}|1|t|0|0|t|305|305|1|1|1|2|2|21|1
309.1.1.2.17.a.1|{}|{0}|1|t|0|0|t|309|309|1|1|1|2|2|17|1
314.1.1.2.14.a.1|{}|{0}|1|t|0|0|t|314|314|1|1|1|2|2|14|1
319.1.1.4.23.a.1|{}|{0}|1|t|0|0|t|319|319|1|1|1|4|4|23|1
321.1.1.2.17.a.1|{}|{0}|1|t|0|0|t|321|321|1|1|1|2|2|17|1
323.1.1.4.25.a.1|{}|{0}|1|t|0|0|t|323|323|1|1|1|4|4|25|1
326.1.1.2.14.a.1|{}|{0}|1|t|0|0|t|326|326|1|1|1|2|2|14|1
327.1.1.4.19.a.1|{}|{0}|1|t|0|0|t|327|327|1|1|1|4|4|19|1
329.1.1.2.23.a.1|{}|{0}|1|t|0|0|t|329|329|1|1|1|2|2|23|1
330.1.1.4.5.a.1|{}|{0}|1|t|0|0|t|330|330|1|1|1|4|4|5|1
334.1.1.2.13.a.1|{}|{0}|1|t|0|0|t|334|334|1|1|1|2|2|13|1
335.1.1.4.23.a.1|{}|{0}|1|t|0|0|t|335|335|1|1|1|4|4|23|1
339.1.1.2.19.a.1|{}|{0}|1|t|0|0|t|339|339|1|1|1|2|2|19|1
341.1.1.2.25.a.1|{}|{0}|1|t|0|0|t|341|341|1|1|1|2|2|25|1
346.1.1.2.14.a.1|{}|{0}|1|t|0|0|t|346|346|1|1|1|2|2|14|1
355.1.1.2.23.a.1|{}|{0}|1|t|0|0|t|355|355|1|1|1|2|2|23|1
358.1.1.4.14.a.1|{}|{0}|1|t|0|0|t|358|358|1|1|1|4|4|14|1
362.1.1.4.16.a.1|{}|{0}|1|t|0|0|t|362|362|1|1|1|4|4|16|1
365.1.1.4.25.a.1|{}|{0}|1|t|0|0|t|365|365|1|1|1|4|4|25|1
371.1.1.2.27.a.1|{}|{0}|1|t|0|0|t|371|371|1|1|1|2|2|27|1
377.1.1.2.29.a.1|{}|{0}|1|t|0|0|t|377|377|1|1|1|2|2|29|1
381.1.1.2.21.a.1|{}|{0}|1|t|0|0|t|381|381|1|1|1|2|2|21|1
382.1.1.2.15.a.1|{}|{0}|1|t|0|0|t|382|382|1|1|1|2|2|15|1
386.1.1.2.17.a.1|{}|{0}|1|t|0|0|t|386|386|1|1|1|2|2|17|1
390.1.1.4.9.a.1|{}|{0}|1|t|0|0|t|390|390|1|1|1|4|4|9|1
391.1.1.2.29.a.1|{}|{0}|1|t|0|0|t|391|391|1|1|1|2|2|29|1
393.1.1.2.21.a.1|{}|{0}|1|t|0|0|t|393|393|1|1|1|2|2|21|1
394.1.1.4.16.a.1|{}|{0}|1|t|0|0|t|394|394|1|1|1|4|4|16|1
395.1.1.2.27.a.1|{}|{0}|1|t|0|0|t|395|395|1|1|1|2|2|27|1
398.1.1.2.17.a.1|{}|{0}|1|t|0|0|t|398|398|1|1|1|2|2|17|1
403.1.1.2.31.a.1|{}|{0}|1|t|0|0|t|403|403|1|1|1|2|2|31|1
407.1.1.4.31.a.1|{}|{0}|1|t|0|0|t|407|407|1|1|1|4|4|31|1
411.1.1.2.23.a.1|{}|{0}|1|t|0|0|t|411|411|1|1|1|2|2|23|1
413.1.1.2.29.a.1|{}|{0}|1|t|0|0|t|413|413|1|1|1|2|2|29|1
415.1.1.4.27.a.1|{}|{0}|1|t|0|0|t|415|415|1|1|1|4|4|27|1
417.1.1.2.23.a.1|{}|{0}|1|t|0|0|t|417|417|1|1|1|2|2|23|1
422.1.1.4.18.a.1|{}|{0}|1|t|0|0|t|422|422|1|1|1|4|4|18|1
427.1.1.2.31.a.1|{}|{0}|1|t|0|0|t|427|427|1|1|1|2|2|31|1
437.1.1.2.33.a.1|{}|{0}|1|t|0|0|t|437|437|1|1|1|2|2|33|1
445.1.1.2.29.a.1|{}|{0}|1|t|0|0|t|445|445|1|1|1|2|2|29|1
446.1.1.2.19.a.1|{}|{0}|1|t|0|0|t|446|446|1|1|1|2|2|19|1
447.1.1.4.25.a.1|{}|{0}|1|t|0|0|t|447|447|1|1|1|4|4|25|1
451.1.1.4.33.a.1|{}|{0}|1|t|0|0|t|451|451|1|1|1|4|4|33|1
453.1.1.2.25.a.1|{}|{0}|1|t|0|0|t|453|453|1|1|1|2|2|25|1
454.1.1.4.18.a.1|{}|{0}|1|t|0|0|t|454|454|1|1|1|4|4|18|1
458.1.1.2.20.a.1|{}|{0}|1|t|0|0|t|458|458|1|1|1|2|2|20|1
462.1.1.4.9.a.1|{}|{0}|1|t|0|0|t|462|462|1|1|1|4|4|9|1
466.1.1.2.19.a.1|{}|{0}|1|t|0|0|t|466|466|1|1|1|2|2|19|1
469.1.1.2.33.a.1|{}|{0}|1|t|0|0|t|469|469|1|1|1|2|2|33|1
471.1.1.4.27.a.1|{}|{0}|1|t|0|0|t|471|471|1|1|1|4|4|27|1
473.1.1.2.35.a.1|{}|{0}|1|t|0|0|t|473|473|1|1|1|2|2|35|1
478.1.1.2.19.a.1|{}|{0}|1|t|0|0|t|478|478|1|1|1|2|2|19|1
481.1.1.2.37.a.1|{}|{0}|1|t|0|0|t|481|481|1|1|1|2|2|37|1
482.1.1.2.21.a.1|{}|{0}|1|t|0|0|t|482|482|1|1|1|2|2|21|1
485.1.1.4.33.a.1|{}|{0}|1|t|0|0|t|485|485|1|1|1|4|4|33|1
489.1.1.2.27.a.1|{}|{0}|1|t|0|0|t|489|489|1|1|1|2|2|27|1
493.1.1.4.37.a.1|{}|{0}|1|t|0|0|t|493|493|1|1|1|4|4|37|1
497.1.1.2.35.a.1|{}|{0}|1|t|0|0|t|497|497|1|1|1|2|2|35|1
501.1.1.2.27.a.1|{}|{0}|1|t|0|0|t|501|501|1|1|1|2|2|27|1
502.1.1.4.20.a.1|{}|{0}|1|t|0|0|t|502|502|1|1|1|4|4|20|1
505.1.1.2.33.a.1|{}|{0}|1|t|0|0|t|505|505|1|1|1|2|2|33|1
510.1.1.4.9.a.1|{}|{0}|1|t|0|0|t|510|510|1|1|1|4|4|9|1
511.1.1.2.37.a.1|{}|{0}|1|t|0|0|t|511|511|1|1|1|2|2|37|1
514.1.1.2.21.a.1|{}|{0}|1|t|0|0|t|514|514|1|1|1|2|2|21|1
515.1.1.4.35.a.1|{}|{0}|1|t|0|0|t|515|515|1|1|1|4|4|35|1
517.1.1.2.37.a.1|{}|{0}|1|t|0|0|t|517|517|1|1|1|2|2|37|1
519.1.1.4.29.a.1|{}|{0}|1|t|0|0|t|519|519|1|1|1|4|4|29|1
526.1.1.2.21.a.1|{}|{0}|1|t|0|0|t|526|526|1|1|1|2|2|21|1
527.1.1.4.41.a.1|{}|{0}|1|t|0|0|t|527|527|1|1|1|4|4|41|1
533.1.1.4.41.a.1|{}|{0}|1|t|0|0|t|533|533|1|1|1|4|4|41|1
535.1.1.4.35.a.1|{}|{0}|1|t|0|0|t|535|535|1|1|1|4|4|35|1
537.1.1.2.29.a.1|{}|{0}|1|t|0|0|t|537|537|1|1|1|2|2|29|1
538.1.1.4.22.a.1|{}|{0}|1|t|0|0|t|538|538|1|1|1|4|4|22|1
542.1.1.2.23.a.1|{}|{0}|1|t|0|0|t|542|542|1|1|1|2|2|23|1
543.1.1.4.31.a.1|{}|{0}|1|t|0|0|t|543|543|1|1|1|4|4|31|1
545.1.1.2.37.a.1|{}|{0}|1|t|0|0|t|545|545|1|1|1|2|2|37|1
546.1.1.2.13.a.1|{}|{0}|1|t|0|0|t|546|546|1|1|1|2|2|13|1
551.1.1.4.43.a.1|{}|{0}|1|t|0|0|t|551|551|1|1|1|4|4|43|1
553.1.1.2.39.a.1|{}|{0}|1|t|0|0|t|553|553|1|1|1|2|2|39|1
554.1.1.2.24.a.1|{}|{0}|1|t|0|0|t|554|554|1|1|1|2|2|24|1
559.1.1.4.43.a.1|{}|{0}|1|t|0|0|t|559|559|1|1|1|4|4|43|1
562.1.1.2.23.a.1|{}|{0}|1|t|0|0|t|562|562|1|1|1|2|2|23|1
565.1.1.4.37.a.1|{}|{0}|1|t|0|0|t|565|565|1|1|1|4|4|37|1
566.1.1.2.24.a.1|{}|{0}|1|t|0|0|t|566|566|1|1|1|2|2|24|1
